GuestId,ProductId,Review,Rating
G099,P019,Fit was slightly off and finish was average.,2
G020,P018,Great quality and very comfortable.,5
G004,P029,Great quality and very comfortable.,5
G082,P029,Fit was slightly off and finish was average.,2
G043,P042,"Loved it, exactly as expected.",5
G049,P004,Not as good as the photos suggested.,2
G040,P037,"Loved it, exactly as expected.",5
G031,P004,Good value for money.,4
G019,P012,"Average product, acceptable for the price.",3
G006,P002,Not as good as the photos suggested.,2
G053,P034,"Okay quality, can be improved.",3
G059,P012,Poor stitching and disappointing quality.,1
G075,P042,Excellent fit and premium feel.,5
G083,P021,"Average product, acceptable for the price.",3
G076,P012,Nice fabric and decent fit.,4
G087,P017,Poor stitching and disappointing quality.,1
G038,P047,Great quality and very comfortable.,5
G051,P060,Mixed experience but usable.,3
G042,P016,Great quality and very comfortable.,5
G030,P030,Excellent fit and premium feel.,5
G018,P049,Mixed experience but usable.,3
G014,P028,Excellent fit and premium feel.,5
G058,P019,Nice fabric and decent fit.,4
G016,P026,Good value for money.,4
G058,P055,Great quality and very comfortable.,5
G016,P026,"Loved it, exactly as expected.",5
G039,P010,Mixed experience but usable.,3
G078,P054,Great quality and very comfortable.,5
G019,P047,Excellent fit and premium feel.,5
G046,P031,Good value for money.,4
G089,P042,Excellent fit and premium feel.,5
G004,P011,Did not meet expectations at all.,1
G072,P019,"Average product, acceptable for the price.",3
G013,P018,Good value for money.,4
G016,P043,Excellent fit and premium feel.,5
G017,P056,Great quality and very comfortable.,5
G048,P032,Mixed experience but usable.,3
G011,P004,Nice fabric and decent fit.,4
G010,P007,Excellent fit and premium feel.,5
G026,P033,Expected better material quality.,2
G017,P043,Great quality and very comfortable.,5
G016,P043,Great quality and very comfortable.,5
G007,P044,"Loved it, exactly as expected.",5
G056,P009,"Okay quality, can be improved.",3
G064,P024,"Loved it, exactly as expected.",5
G055,P053,Excellent fit and premium feel.,5
G024,P056,Great quality and very comfortable.,5
G020,P010,"Loved it, exactly as expected.",5
G079,P029,Great quality and very comfortable.,5
G064,P042,Looks good and feels durable.,4
G062,P054,Great quality and very comfortable.,5
G050,P005,Excellent fit and premium feel.,5
G084,P024,Not as good as the photos suggested.,2
G032,P051,Looks good and feels durable.,4
G003,P041,Returned due to fit and finish issues.,1
G046,P005,Nice fabric and decent fit.,4
G045,P041,Not as good as the photos suggested.,2
G042,P043,Good value for money.,4
G004,P051,Excellent fit and premium feel.,5
G004,P011,Expected better material quality.,2
G008,P034,"Okay quality, can be improved.",3
G068,P059,Looks good and feels durable.,4
G030,P030,Poor stitching and disappointing quality.,1
G032,P015,"Okay quality, can be improved.",3
G069,P060,Mixed experience but usable.,3
G008,P021,"Average product, acceptable for the price.",3
G074,P007,Expected better material quality.,2
G046,P032,Poor stitching and disappointing quality.,1
G023,P022,Great quality and very comfortable.,5
G100,P045,Mixed experience but usable.,3
G004,P016,"Okay quality, can be improved.",3
G073,P001,Looks good and feels durable.,4
G025,P029,Expected better material quality.,2
G070,P014,Great quality and very comfortable.,5
G005,P038,Excellent fit and premium feel.,5
G078,P054,"Loved it, exactly as expected.",5
G062,P034,"Loved it, exactly as expected.",5
G026,P046,"Okay quality, can be improved.",3
G096,P037,Great quality and very comfortable.,5
G008,P052,"Loved it, exactly as expected.",5
G094,P032,Fit was slightly off and finish was average.,2
G068,P027,Fit was slightly off and finish was average.,2
G048,P006,Mixed experience but usable.,3
G051,P038,Nice fabric and decent fit.,4
G039,P024,Excellent fit and premium feel.,5
G099,P035,Returned due to fit and finish issues.,1
G063,P036,Good value for money.,4
G095,P013,Returned due to fit and finish issues.,1
G079,P021,"Average product, acceptable for the price.",3
G087,P029,Good value for money.,4
G049,P019,"Loved it, exactly as expected.",5
G038,P035,"Loved it, exactly as expected.",5
G001,P049,Returned due to fit and finish issues.,1
G051,P034,Not as good as the photos suggested.,2
G005,P032,Great quality and very comfortable.,5
G079,P025,"Loved it, exactly as expected.",5
G014,P029,Poor stitching and disappointing quality.,1
G043,P005,"Average product, acceptable for the price.",3
G045,P033,Poor stitching and disappointing quality.,1
G082,P029,Fit was slightly off and finish was average.,2
G095,P013,Mixed experience but usable.,3
G043,P042,Nice fabric and decent fit.,4
G027,P047,Excellent fit and premium feel.,5
G045,P053,Excellent fit and premium feel.,5
G097,P049,Great quality and very comfortable.,5
G057,P001,"Average product, acceptable for the price.",3
G053,P034,Nice fabric and decent fit.,4
G045,P053,Good value for money.,4
G062,P054,Mixed experience but usable.,3
G085,P043,"Average product, acceptable for the price.",3
G021,P025,Good value for money.,4
G038,P035,Great quality and very comfortable.,5
G014,P029,Excellent fit and premium feel.,5
G049,P004,Excellent fit and premium feel.,5
G071,P035,Poor stitching and disappointing quality.,1
G044,P050,Looks good and feels durable.,4
G062,P046,"Okay quality, can be improved.",3
G085,P039,Great quality and very comfortable.,5
G021,P003,Great quality and very comfortable.,5
G027,P044,Did not meet expectations at all.,1
G093,P044,Looks good and feels durable.,4
G070,P031,Great quality and very comfortable.,5
G039,P023,Excellent fit and premium feel.,5
G051,P060,Nice fabric and decent fit.,4
G020,P027,Excellent fit and premium feel.,5
G055,P053,"Loved it, exactly as expected.",5
G081,P011,Good value for money.,4
G013,P008,Excellent fit and premium feel.,5
G083,P021,Excellent fit and premium feel.,5
G061,P027,Expected better material quality.,2
G051,P031,Looks good and feels durable.,4
G034,P012,"Loved it, exactly as expected.",5
G050,P049,Great quality and very comfortable.,5
G048,P053,Excellent fit and premium feel.,5
G034,P028,Nice fabric and decent fit.,4
G029,P010,Not as good as the photos suggested.,2
G008,P010,"Loved it, exactly as expected.",5
G088,P023,"Loved it, exactly as expected.",5
G045,P041,"Okay quality, can be improved.",3
G057,P030,Looks good and feels durable.,4
G008,P010,Not as good as the photos suggested.,2
G054,P040,Returned due to fit and finish issues.,1
G061,P049,Good value for money.,4
G061,P049,Great quality and very comfortable.,5
G096,P019,"Loved it, exactly as expected.",5
G067,P015,Mixed experience but usable.,3
G080,P007,Great quality and very comfortable.,5
G023,P006,Poor stitching and disappointing quality.,1
G028,P038,"Average product, acceptable for the price.",3
G006,P025,Looks good and feels durable.,4
G056,P004,"Loved it, exactly as expected.",5
G019,P047,Expected better material quality.,2
G041,P029,Fit was slightly off and finish was average.,2
G012,P006,Nice fabric and decent fit.,4
G071,P059,Great quality and very comfortable.,5
G067,P027,Good value for money.,4
G093,P039,Looks good and feels durable.,4
G054,P040,Excellent fit and premium feel.,5
G019,P047,Looks good and feels durable.,4
G084,P020,Poor stitching and disappointing quality.,1
G014,P030,Good value for money.,4
G037,P056,Expected better material quality.,2
G053,P056,"Loved it, exactly as expected.",5
G063,P030,Nice fabric and decent fit.,4
G005,P038,Great quality and very comfortable.,5
G019,P010,Looks good and feels durable.,4
G092,P053,Nice fabric and decent fit.,4
G043,P005,"Average product, acceptable for the price.",3
G089,P060,Nice fabric and decent fit.,4
G048,P032,Great quality and very comfortable.,5
G040,P026,Great quality and very comfortable.,5
G093,P044,"Average product, acceptable for the price.",3
G018,P015,"Loved it, exactly as expected.",5
G057,P059,"Okay quality, can be improved.",3
G035,P025,Mixed experience but usable.,3
G084,P044,Great quality and very comfortable.,5
G028,P038,Expected better material quality.,2
G100,P037,Looks good and feels durable.,4
G048,P006,Mixed experience but usable.,3
G021,P020,"Loved it, exactly as expected.",5
G065,P013,Looks good and feels durable.,4
G073,P043,Excellent fit and premium feel.,5
G026,P046,Fit was slightly off and finish was average.,2
G005,P032,Nice fabric and decent fit.,4
G094,P032,Great quality and very comfortable.,5
G060,P016,Looks good and feels durable.,4
G016,P005,"Average product, acceptable for the price.",3
G048,P032,Nice fabric and decent fit.,4
