Review_ID,ID (SKU),Customer_ID,Order_item_ID,Order_ID,Size,Color,Rating,Review_title,Review_text,Fit_feedback,Verified_purchase,Helpful_votes,Reviewed_at
REV-000011,APL-TOP-M-008,CUST-0147,OI-000029,ORD-2026-000023,L,Electric Blue,5,Repeat purchase for sure,Liked the sleeveless detail. Comfortable all day and the colour hasn't faded after two washes.,Too small,TRUE,17,2026-07-11
REV-000012,APL-BTM-F-027,CUST-0028,OI-000033,ORD-2026-000026,XL,Indigo,4,Good quality for the price,Liked the dark detail. Very happy overall; delivery was quick too. Only wish there were more colour options.,Too small,TRUE,16,2026-07-02
REV-000013,APL-TOP-M-003,CUST-0028,OI-000034,ORD-2026-000026,M,Grey Melange,4,Would recommend,Pretty much as described. Liked the half sleeve detail. Took one wash to soften up.,True to size,TRUE,2,2026-06-29
REV-000014,APL-TOP-F-021,CUST-0028,OI-000035,ORD-2026-000026,L,Teal,5,Repeat purchase for sure,The rayon feels great against the skin. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,20,2026-07-06
REV-000015,APL-BTM-F-031,CUST-0171,OI-000036,ORD-2026-000027,S,Light Blue,4,"Really good, minor niggles","Good quality and comfortable. Liked the mid-rise detail. Slightly pricier than I'd like, but I'd buy it again.",True to size,TRUE,2,2026-06-10
REV-000016,APL-BTM-M-015,CUST-0171,OI-000037,ORD-2026-000027,L,Navy,3,Does the job,"Wasn't sold on the side stripe detail. It's fine — nothing wrong with it, but nothing special either.",True to size,TRUE,8,2026-06-17
REV-000017,APL-BTM-F-034,CUST-0171,OI-000038,ORD-2026-000027,L,Deep Blue,3,Okay for the price,Reasonable for what I paid. The denim-look knit isn't as substantial as I hoped. The colour is a shade duller than the photos.,Too large,TRUE,2,2026-06-26
REV-000018,APL-BTM-M-013,CUST-0171,OI-000039,ORD-2026-000027,M,Khaki,3,"Decent, not remarkable","The regular fit didn't work on my frame. It's fine — nothing wrong with it, but nothing special either.",True to size,TRUE,9,2026-06-26
REV-000019,APL-BTM-M-011,CUST-0052,OI-000040,ORD-2026-000028,M,Navy,3,Average,"Wasn't sold on the mid-rise detail. Comfortable enough, though the fabric feels thinner than I expected.",True to size,TRUE,2,2026-06-27
REV-000020,APL-BTM-F-080,CUST-0052,OI-000041,ORD-2026-000028,S,Cocoa,3,Okay for the price,"Wasn't sold on the high-waist detail. It's fine — nothing wrong with it, but nothing special either.",True to size,TRUE,5,2026-07-03
REV-000021,APL-ACC-M-035,CUST-0073,OI-000043,ORD-2026-000029,Free Size,Gold-Green,2,Expected better,The uv400 polarized feels flimsy for the price. Quality doesn't match the price — the material feels cheap up close.,,TRUE,3,2026-06-30
REV-000022,APL-BTM-F-030,CUST-0129,OI-000045,ORD-2026-000031,XS,Blush Pink,3,Mixed feelings,Reasonable for what I paid. Wanted it for smart casual wear but it doesn't look the part. The colour is a shade duller than the photos.,True to size,TRUE,4,2026-07-18
REV-000023,APL-ACC-M-089,CUST-0129,OI-000047,ORD-2026-000031,Free Size,Matte Grey,5,Repeat purchase for sure,Great pick for the price. The uv400 polarized does its job well in bright sun. Ordering another one in a different shade.,,TRUE,7,2026-07-18
REV-000024,APL-BTM-F-027,CUST-0085,OI-000048,ORD-2026-000032,XL,Black,1,Sending it back,Arrived with a tear near the seam and the packaging was already open. Returned immediately.,,TRUE,27,2026-07-03
REV-000025,APL-ACC-F-043,CUST-0052,OI-000049,ORD-2026-000033,Free Size,Blush,3,Mixed feelings,"The paper straw isn't as substantial as I hoped. It's fine — nothing wrong with it, but nothing special either.",,TRUE,3,2026-07-18
REV-000026,APL-BTM-F-029,CUST-0121,OI-000055,ORD-2026-000038,M,Black,5,Exactly what I wanted,Great pick for the price. Wore it for a casual outing and it was perfect. Ordering another one in a different shade.,True to size,TRUE,20,2026-07-10
REV-000027,APL-TOP-M-001,CUST-0128,OI-000057,ORD-2026-000039,XXL,Black,5,Worth every rupee,Great pick for the price. The 100% combed cotton feels great against the skin. Ordering another one in a different shade.,True to size,TRUE,20,2026-07-16
REV-000028,APL-TOP-M-055,CUST-0128,OI-000058,ORD-2026-000039,M,Camel,5,Repeat purchase for sure,Liked the full sleeve detail. Comfortable all day and the colour hasn't faded after two washes.,Too large,TRUE,4,2026-07-18
REV-000029,APL-TOP-M-001,CUST-0070,OI-000059,ORD-2026-000040,XS,Navy,1,Sending it back,The 100% combed cotton isn't as substantial as I hoped. Fabric quality is nowhere near what's described. Avoid.,Too small,TRUE,5,2026-07-18
REV-000030,APL-TOP-M-001,CUST-0070,OI-000061,ORD-2026-000040,XXL,Navy,3,Average,"Wasn't sold on the half sleeve detail. It's fine — nothing wrong with it, but nothing special either.",True to size,TRUE,6,2026-07-18
REV-000031,APL-TOP-M-059,CUST-0151,OI-000062,ORD-2026-000041,L,Ivory,3,Average,Reasonable for what I paid. The jacquard poly-silk isn't as substantial as I hoped. The colour is a shade duller than the photos.,True to size,TRUE,6,2026-07-18
REV-000032,APL-TOP-M-007,CUST-0151,OI-000063,ORD-2026-000041,M,White,3,Okay for the price,"Wasn't sold on the full sleeve detail. It's fine — nothing wrong with it, but nothing special either.",Too small,TRUE,4,2026-07-18
REV-000033,APL-TOP-M-002,CUST-0033,OI-000064,ORD-2026-000042,S,Sky Blue,4,Would recommend,Pretty much as described. The cotton oxford feels great against the skin. Took one wash to soften up.,True to size,TRUE,6,2026-06-22
REV-000034,APL-TOP-M-057,CUST-0078,OI-000065,ORD-2026-000043,XS,Black,5,Exactly what I wanted,Turned out even better in person. Liked the full sleeve detail. No complaints at all.,True to size,TRUE,3,2026-07-18
REV-000035,APL-BTM-F-080,CUST-0016,OI-000071,ORD-2026-000049,XS,Cocoa,5,Better than expected,Great pick for the price. The nylon-spandex feels great against the skin. Ordering another one in a different shade.,True to size,TRUE,18,2026-06-24
REV-000036,APL-TOP-M-008,CUST-0084,OI-000073,ORD-2026-000051,XS,Steel Grey,5,Exactly what I wanted,Great pick for the price. Liked the sleeveless detail. Ordering another one in a different shade.,True to size,TRUE,29,2026-07-18
REV-000037,APL-TOP-M-057,CUST-0115,OI-000078,ORD-2026-000052,XXL,Olive,3,Average,"Wasn't sold on the full sleeve detail. Comfortable enough, though the fabric feels thinner than I expected.",Too small,TRUE,13,2026-07-18
REV-000038,APL-TOP-M-059,CUST-0040,OI-000080,ORD-2026-000053,XL,Maroon,5,Repeat purchase for sure,Liked the sleeveless detail. Comfortable all day and the colour hasn't faded after two washes.,True to size,TRUE,21,2026-06-22
REV-000039,APL-TOP-F-023,CUST-0049,OI-000082,ORD-2026-000054,S,Emerald,5,Worth every rupee,Wore it for a evening outing and it was perfect. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,11,2026-07-01
REV-000040,APL-TOP-F-072,CUST-0094,OI-000086,ORD-2026-000057,XS,Mauve,4,Solid buy,The longline fit is spot on for me. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,True to size,TRUE,10,2026-07-13
REV-000041,APL-ACC-M-092,CUST-0047,OI-000098,ORD-2026-000065,Free Size,Black-Grey,1,Very disappointed,"The cotton front, mesh back isn't as substantial as I hoped. Arrived in poor condition and clearly not worth the money.",,TRUE,12,2026-06-26
REV-000042,APL-TOP-M-051,CUST-0047,OI-000099,ORD-2026-000065,M,Olive-Cream,5,Absolutely love it,Turned out even better in person. The regular fit is spot on for me. No complaints at all.,True to size,TRUE,1,2026-06-27
REV-000043,APL-BTM-F-028,CUST-0047,OI-000101,ORD-2026-000065,XS,Black,5,Worth every rupee,Turned out even better in person. The compression fit is spot on for me. No complaints at all.,Too small,TRUE,28,2026-07-05
REV-000044,APL-BTM-F-078,CUST-0021,OI-000103,ORD-2026-000066,L,Dark Blue,2,Expected better,Wasn't sold on the dark detail. Fit is off and the finishing is sloppy. Went through with a return.,True to size,TRUE,6,2026-07-15
REV-000045,APL-TOP-F-023,CUST-0034,OI-000105,ORD-2026-000067,XL,Champagne,5,Repeat purchase for sure,Wore it for a evening outing and it was perfect. Comfortable all day and the colour hasn't faded after two washes.,True to size,TRUE,17,2026-07-02
REV-000046,APL-TOP-M-001,CUST-0063,OI-000109,ORD-2026-000068,XS,White,5,Absolutely love it,Liked the half sleeve detail. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,10,2026-07-18
REV-000047,APL-TOP-M-003,CUST-0015,OI-000111,ORD-2026-000069,L,Bottle Green,1,Poor quality,Complete miss. Wasn't sold on the half sleeve detail. Returned it the same week.,Too small,TRUE,19,2026-07-15
REV-000048,APL-ACC-F-038,CUST-0062,OI-000116,ORD-2026-000072,Free Size,Gunmetal,4,"Really good, minor niggles",Pretty much as described. The metal round does its job well in bright sun. Took one wash to soften up.,,TRUE,13,2026-06-19
REV-000049,APL-ACC-F-093,CUST-0052,OI-000119,ORD-2026-000074,Free Size,Black,3,"Decent, not remarkable",Reasonable for what I paid. Wanted it for smart casual wear but it doesn't look the part. The colour is a shade duller than the photos.,,TRUE,9,2026-06-30
REV-000050,APL-TOP-M-007,CUST-0095,OI-000121,ORD-2026-000076,XXL,White,5,Repeat purchase for sure,Liked the full sleeve detail. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,2,2026-06-28
REV-000051,APL-TOP-F-023,CUST-0084,OI-000126,ORD-2026-000080,M,Champagne,4,Happy with this,"Good quality and comfortable. Wore it for a evening outing and it was perfect. Slightly pricier than I'd like, but I'd buy it again.",True to size,TRUE,4,2026-06-25
REV-000052,APL-BTM-F-032,CUST-0084,OI-000127,ORD-2026-000080,XXL,Taupe,5,Better than expected,Liked the high-rise detail. Comfortable all day and the colour hasn't faded after two washes.,True to size,TRUE,15,2026-06-18
REV-000053,APL-TOP-F-071,CUST-0164,OI-000129,ORD-2026-000082,L,White,2,Wouldn't buy again,"Far too roomy for the size I ordered. The fit is much more generous than the size chart suggests, so size down.",Too large,TRUE,11,2026-07-12
REV-000054,APL-BTM-M-061,CUST-0111,OI-000130,ORD-2026-000083,XS,Charcoal,5,Worth every rupee,The poly-viscose feels great against the skin. Comfortable all day and the colour hasn't faded after two washes.,True to size,TRUE,22,2026-06-29
REV-000055,APL-BTM-F-082,CUST-0026,OI-000131,ORD-2026-000084,S,Checked Grey,5,Worth every rupee,The poly twill feels great against the skin. Comfortable all day and the colour hasn't faded after two washes.,True to size,TRUE,27,2026-07-07
REV-000056,APL-BTM-M-014,CUST-0164,OI-000133,ORD-2026-000086,XS,Charcoal,5,Repeat purchase for sure,Turned out even better in person. The poly-viscose feels great against the skin. No complaints at all.,True to size,TRUE,15,2026-07-18
REV-000057,APL-TOP-M-052,CUST-0108,OI-000134,ORD-2026-000087,XL,Red-Black Check,3,Okay for the price,"The brushed cotton flannel isn't as substantial as I hoped. It's fine — nothing wrong with it, but nothing special either.",Too large,TRUE,4,2026-07-08
REV-000058,APL-TOP-M-056,CUST-0108,OI-000136,ORD-2026-000087,XXL,Washed Black,5,Repeat purchase for sure,The denim feels great against the skin. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,15,2026-07-08
REV-000059,APL-ACC-F-047,CUST-0106,OI-000137,ORD-2026-000088,M,White,5,Better than expected,Liked the silicone heel grip detail. Comfortable all day and the colour hasn't faded after two washes.,,TRUE,11,2026-07-18
REV-000060,APL-TOP-M-002,CUST-0168,OI-000138,ORD-2026-000089,XS,White,4,Good quality for the price,The cotton oxford feels great against the skin. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,True to size,TRUE,8,2026-07-09
REV-000061,APL-BTM-F-029,CUST-0168,OI-000139,ORD-2026-000089,L,Black,5,Repeat purchase for sure,Turned out even better in person. Wore it for a casual outing and it was perfect. No complaints at all.,True to size,TRUE,3,2026-07-18
REV-000062,APL-TOP-M-053,CUST-0065,OI-000140,ORD-2026-000090,XXL,White,5,Better than expected,Great pick for the price. The linen-cotton blend feels great against the skin. Ordering another one in a different shade.,True to size,TRUE,7,2026-07-18
REV-000063,APL-TOP-F-026,CUST-0065,OI-000141,ORD-2026-000090,XS,Sky,4,Would recommend,The nylon-spandex feels great against the skin. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,True to size,TRUE,7,2026-07-10
REV-000064,APL-TOP-M-002,CUST-0021,OI-000142,ORD-2026-000091,XL,Sky Blue,5,Absolutely love it,Great pick for the price. The cotton oxford feels great against the skin. Ordering another one in a different shade.,True to size,TRUE,10,2026-07-12
REV-000065,APL-BTM-F-033,CUST-0083,OI-000143,ORD-2026-000092,XS,Rosewood,5,Repeat purchase for sure,Great pick for the price. Wore it for a athleisure outing and it was perfect. Ordering another one in a different shade.,True to size,TRUE,16,2026-07-07
REV-000066,APL-TOP-M-006,CUST-0033,OI-000148,ORD-2026-000095,S,Black,5,Absolutely love it,"The nylon shell, padded feels great against the skin. Fits beautifully and the finish feels premium — I've worn it several times already.",True to size,TRUE,1,2026-07-14
REV-000067,APL-TOP-F-068,CUST-0033,OI-000149,ORD-2026-000095,M,Ivory,5,Repeat purchase for sure,The regular fit is spot on for me. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,6,2026-07-01
REV-000068,APL-TOP-M-005,CUST-0039,OI-000158,ORD-2026-000099,M,Navy,4,Solid buy,The regular fit is spot on for me. Very happy overall; delivery was quick too. Only wish there were more colour options.,True to size,TRUE,2,2026-07-18
REV-000069,APL-ACC-M-046,CUST-0039,OI-000159,ORD-2026-000099,L,White,4,Solid buy,The cotton blend feels great against the skin. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,,TRUE,3,2026-07-18
REV-000070,APL-BTM-F-080,CUST-0038,OI-000160,ORD-2026-000100,L,Cocoa,1,Sending it back,Complete miss. Wasn't sold on the high-waist detail. Returned it the same week.,Too large,TRUE,19,2026-07-14
REV-000071,APL-BTM-F-082,CUST-0134,OI-000170,ORD-2026-000105,L,Checked Grey,4,Happy with this,Pretty much as described. The a-line fit is spot on for me. Took one wash to soften up.,Too small,TRUE,1,2026-07-08
REV-000072,APL-BTM-F-028,CUST-0028,OI-000171,ORD-2026-000106,M,Plum,2,Not as described,The colour is well off what's shown online; much more muted in daylight. Had to return it.,,TRUE,5,2026-06-29
REV-000073,APL-TOP-M-057,CUST-0028,OI-000172,ORD-2026-000106,L,Black,1,Sending it back,Arrived with a tear near the seam and the packaging was already open. Returned immediately.,,TRUE,9,2026-07-13
REV-000074,APL-TOP-M-007,CUST-0028,OI-000173,ORD-2026-000106,M,Mustard,2,Not as described,Looks noticeably different from the listing photos — the cut and shade both surprised me. Sent it back.,,TRUE,13,2026-07-14
REV-000075,APL-BTM-M-061,CUST-0164,OI-000175,ORD-2026-000108,L,Stone,2,Disappointed,Underwhelming. The relaxed tapered fit didn't work on my frame. The photos are far more flattering than the actual product.,Too large,TRUE,5,2026-07-18
REV-000076,APL-TOP-M-054,CUST-0004,OI-000178,ORD-2026-000111,XL,Forest Green,3,Does the job,Reasonable for what I paid. Wasn't sold on the full sleeve detail. The colour is a shade duller than the photos.,True to size,TRUE,11,2026-06-17
REV-000077,APL-TOP-F-076,CUST-0060,OI-000179,ORD-2026-000112,XS,Black,2,Disappointed,Looks noticeably different from the listing photos — the cut and shade both surprised me. Sent it back.,,TRUE,2,2026-07-07
REV-000078,APL-TOP-M-058,CUST-0043,OI-000182,ORD-2026-000113,XS,Black,3,Does the job,"The cotton-poly isn't as substantial as I hoped. It's fine — nothing wrong with it, but nothing special either.",True to size,TRUE,10,2026-07-18
REV-000079,APL-TOP-M-058,CUST-0043,OI-000183,ORD-2026-000113,XXL,White,4,Would recommend,The regular fit is spot on for me. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,True to size,TRUE,8,2026-07-16
REV-000080,APL-ACC-F-087,CUST-0056,OI-000185,ORD-2026-000115,Free Size,Rose Gold,3,Average,"Wanted it for everyday wear but it doesn't look the part. It's fine — nothing wrong with it, but nothing special either.",,TRUE,4,2026-07-11
REV-000081,APL-BTM-M-060,CUST-0161,OI-000186,ORD-2026-000116,S,Washed Blue,5,Exactly what I wanted,Turned out even better in person. Wore it for a casual outing and it was perfect. No complaints at all.,True to size,TRUE,6,2026-06-24
REV-000082,APL-TOP-M-055,CUST-0154,OI-000190,ORD-2026-000120,M,Black,5,Absolutely love it,Turned out even better in person. Liked the full sleeve detail. No complaints at all.,True to size,TRUE,26,2026-06-28
REV-000083,APL-BTM-M-067,CUST-0139,OI-000192,ORD-2026-000121,M,Brown,4,Solid buy,Pretty much as described. The straight fit is spot on for me. Took one wash to soften up.,Too small,TRUE,4,2026-06-28
REV-000084,APL-BTM-M-066,CUST-0139,OI-000193,ORD-2026-000121,S,Navy,3,Average,Reasonable for what I paid. Wanted it for lounge wear but it doesn't look the part. The colour is a shade duller than the photos.,True to size,TRUE,2,2026-06-30
REV-000085,APL-TOP-F-019,CUST-0011,OI-000198,ORD-2026-000124,S,Floral Teal,5,Exactly what I wanted,The wrap fit is spot on for me. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,16,2026-07-18
REV-000086,APL-ACC-M-048,CUST-0071,OI-000202,ORD-2026-000128,S,Black-Lime,5,Repeat purchase for sure,The nylon-spandex feels great against the skin. Comfortable all day and the colour hasn't faded after two washes.,,TRUE,8,2026-06-30
REV-000087,APL-BTM-F-078,CUST-0071,OI-000203,ORD-2026-000128,L,Dark Blue,5,Worth every rupee,Great pick for the price. The stretch denim feels great against the skin. Ordering another one in a different shade.,True to size,TRUE,18,2026-07-09
REV-000088,APL-BTM-M-064,CUST-0071,OI-000204,ORD-2026-000128,XL,Navy,5,Repeat purchase for sure,Great pick for the price. The cotton-elastane twill feels great against the skin. Ordering another one in a different shade.,True to size,TRUE,9,2026-07-18
REV-000089,APL-BTM-F-032,CUST-0075,OI-000206,ORD-2026-000129,M,Black,2,Not as described,Looks noticeably different from the listing photos — the cut and shade both surprised me. Sent it back.,,TRUE,8,2026-07-08
REV-000090,APL-BTM-F-080,CUST-0083,OI-000207,ORD-2026-000130,XS,Cocoa,4,Happy with this,The compression fit is spot on for me. Very happy overall; delivery was quick too. Only wish there were more colour options.,Too small,TRUE,7,2026-07-06
REV-000091,APL-ACC-F-099,CUST-0116,OI-000209,ORD-2026-000131,S,Plum,2,Disappointed,Underwhelming. The cotton-spandex isn't as substantial as I hoped. The photos are far more flattering than the actual product.,,TRUE,12,2026-07-10
REV-000092,APL-TOP-F-024,CUST-0116,OI-000210,ORD-2026-000131,M,Lilac,5,Exactly what I wanted,The cotton fleece feels great against the skin. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,15,2026-07-04
REV-000093,APL-TOP-F-074,CUST-0061,OI-000221,ORD-2026-000140,S,Champagne,2,Disappointed,Not what I expected from the listing. The satin polyester isn't as substantial as I hoped. Started pilling within a couple of wears.,True to size,TRUE,2,2026-07-13
REV-000094,APL-BTM-F-029,CUST-0149,OI-000222,ORD-2026-000141,XL,Black,3,Okay for the price,Reasonable for what I paid. The crepe isn't as substantial as I hoped. The colour is a shade duller than the photos.,Too large,TRUE,15,2026-06-07
REV-000095,APL-TOP-F-019,CUST-0149,OI-000223,ORD-2026-000141,XL,Floral Coral,2,Expected better,Wasn't sold on the flutter sleeve detail. Quality doesn't match the price — the material feels cheap up close.,True to size,TRUE,5,2026-06-16
REV-000096,APL-TOP-F-019,CUST-0018,OI-000226,ORD-2026-000143,S,Floral Teal,2,Not as described,Looks noticeably different from the listing photos — the cut and shade both surprised me. Sent it back.,,TRUE,7,2026-07-13
REV-000097,APL-ACC-F-047,CUST-0018,OI-000227,ORD-2026-000143,L,Beige,3,"Decent, not remarkable",No real fault with the product — it just wasn't what I needed after seeing it in person. Return process was smooth.,,TRUE,9,2026-07-08
REV-000098,APL-BTM-M-067,CUST-0078,OI-000229,ORD-2026-000145,XS,Rust,5,Repeat purchase for sure,Liked the mid-rise detail. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,13,2026-06-29
REV-000099,APL-TOP-F-020,CUST-0168,OI-000231,ORD-2026-000146,XS,White,3,Mixed feelings,"Wasn't sold on the drop shoulder detail. Comfortable enough, though the fabric feels thinner than I expected.",Too large,TRUE,11,2026-07-19
REV-000100,APL-BTM-F-028,CUST-0168,OI-000232,ORD-2026-000146,M,Plum,3,Mixed feelings,Does the job for everyday use. The compression fit didn't work on my frame. Not sure it'll last a season of regular wear.,Too small,TRUE,4,2026-07-19
REV-000101,APL-TOP-M-005,CUST-0109,OI-000233,ORD-2026-000147,XXL,Beige,4,Solid buy,The regular fit is spot on for me. Very happy overall; delivery was quick too. Only wish there were more colour options.,Too large,TRUE,1,2026-07-18
REV-000102,APL-TOP-F-072,CUST-0109,OI-000234,ORD-2026-000147,XXL,Mauve,4,Would recommend,The longline fit is spot on for me. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,True to size,TRUE,17,2026-07-09
REV-000103,APL-TOP-M-001,CUST-0164,OI-000235,ORD-2026-000148,XL,White,4,Happy with this,"Good quality and comfortable. The regular fit is spot on for me. Slightly pricier than I'd like, but I'd buy it again.",True to size,TRUE,1,2026-07-18
REV-000104,APL-TOP-F-068,CUST-0164,OI-000236,ORD-2026-000148,L,Dusty Rose,4,Would recommend,The poly crepe feels great against the skin. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,True to size,TRUE,3,2026-07-18
REV-000105,APL-BTM-M-064,CUST-0165,OI-000237,ORD-2026-000149,XL,Khaki,5,Exactly what I wanted,Great pick for the price. The slim fit is spot on for me. Ordering another one in a different shade.,Too small,TRUE,26,2026-07-18
REV-000106,APL-TOP-M-005,CUST-0125,OI-000238,ORD-2026-000150,XS,Navy,2,Expected better,The regular fit didn't work on my frame. Quality doesn't match the price — the material feels cheap up close.,Too small,TRUE,3,2026-07-18
REV-000107,APL-BTM-M-012,CUST-0165,OI-000241,ORD-2026-000152,XS,Grey Melange,4,Good quality for the price,Liked the zip pockets detail. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,Too small,TRUE,10,2026-07-07
REV-000108,APL-TOP-F-023,CUST-0080,OI-000242,ORD-2026-000153,L,Champagne,5,Better than expected,Wore it for a evening outing and it was perfect. Fits beautifully and the finish feels premium — I've worn it several times already.,True to size,TRUE,20,2026-07-10
REV-000109,APL-ACC-F-087,CUST-0155,OI-000243,ORD-2026-000154,Free Size,Gold,4,Good quality for the price,"Good quality and comfortable. The metal hexagon does its job well in bright sun. Slightly pricier than I'd like, but I'd buy it again.",,TRUE,7,2026-07-18
REV-000110,APL-BTM-F-034,CUST-0131,OI-000244,ORD-2026-000155,XL,Black,4,Good quality for the price,"Good quality and comfortable. Liked the high-rise detail. Slightly pricier than I'd like, but I'd buy it again.",Too large,TRUE,11,2026-07-16
REV-000111,APL-TOP-F-076,CUST-0131,OI-000245,ORD-2026-000155,L,Lilac,3,Average,Does the job for everyday use. The polyester dry-knit isn't as substantial as I hoped. Not sure it'll last a season of regular wear.,Too small,TRUE,16,2026-07-18
REV-000112,APL-BTM-M-013,CUST-0131,OI-000246,ORD-2026-000155,L,Stone Grey,4,"Really good, minor niggles",Wore it for a casual outing and it was perfect. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,True to size,TRUE,4,2026-07-18
REV-000113,APL-BTM-M-064,CUST-0110,OI-000247,ORD-2026-000156,L,Coral,5,Exactly what I wanted,Turned out even better in person. The cotton-elastane twill feels great against the skin. No complaints at all.,True to size,TRUE,25,2026-06-18
REV-000114,APL-BTM-M-066,CUST-0110,OI-000248,ORD-2026-000156,L,Navy,4,Happy with this,The relaxed fit is spot on for me. Looks smart and holds shape well. Docking a star because the stitching near the hem is a bit loose.,Too large,TRUE,8,2026-06-19
REV-000115,APL-TOP-F-026,CUST-0049,OI-000249,ORD-2026-000157,XL,Sky,4,Good quality for the price,Pretty much as described. The slim fit is spot on for me. Took one wash to soften up.,True to size,TRUE,1,2026-06-18
REV-000116,APL-TOP-F-021,CUST-0029,OI-000250,ORD-2026-000158,M,Coral,5,Repeat purchase for sure,Great pick for the price. The rayon feels great against the skin. Ordering another one in a different shade.,Too small,TRUE,15,2026-06-26
REV-000117,APL-TOP-M-057,CUST-0050,OI-000252,ORD-2026-000160,L,Black,2,Disappointed,The colour is well off what's shown online; much more muted in daylight. Had to return it.,,TRUE,3,2026-06-19
REV-000118,APL-TOP-M-007,CUST-0050,OI-000253,ORD-2026-000160,L,White,2,Expected better,Runs at least one size small — I usually take this size and couldn't get it on comfortably. Returned for the next size up.,Too small,TRUE,14,2026-06-22
REV-000119,APL-BTM-F-080,CUST-0091,OI-000254,ORD-2026-000161,XXL,Cocoa,5,Absolutely love it,The compression fit is spot on for me. Comfortable all day and the colour hasn't faded after two washes.,True to size,TRUE,6,2026-06-28
REV-000120,APL-BTM-M-061,CUST-0092,OI-000255,ORD-2026-000162,XL,Stone,3,Mixed feelings,"The relaxed tapered fit didn't work on my frame. Comfortable enough, though the fabric feels thinner than I expected.",True to size,TRUE,1,2026-07-03
REV-000121,APL-BTM-F-077,CUST-0080,OI-000258,ORD-2026-000165,L,Mid-Blue,5,Exactly what I wanted,Turned out even better in person. The denim feels great against the skin. No complaints at all.,True to size,TRUE,1,2026-07-10
